date,observed_case,observed_vaccine,no_information_case,no_information_vaccine,spline_beta_case,spline_beta_vaccine,semi_mechanistic_case,semi_mechanistic_vaccine,counterfactual_M_zero_case,counterfactual_M_zero_vaccine,counterfactual_C_zero_case,counterfactual_C_zero_vaccine
2021-05-07,1201845.0085149407,11099662.413050022,1189313.1229796757,11000226.797334645,1200676.5042823518,10999118.726394555,1201333.3233920825,11185028.628432047,42219996.33050678,3045749.995908687,925307.2115750491,41294824.48155201
2021-05-08,1209468.266621682,11449501.138798192,1196879.508312257,11175465.308301574,1208184.4563356538,11174282.040540846,1208756.7879990928,11453689.1896106,42220005.93170774,3045749.995908687,925307.2115750816,41294824.48153115
2021-05-09,1216936.3549231242,11766021.717320492,1204465.865853812,11349640.38419593,1215603.418282319,11348383.087491319,1216091.960231797,11725071.605391478,42220014.06618341,3045749.995908687,925307.2115751111,41294824.48125113
2021-05-10,1224226.7183741054,12052397.336941509,1212069.882584218,11522758.18908074,1222925.193035607,11521428.629341956,1223332.264533279,11999145.454076283,42220020.99956604,3045749.995908687,925307.2115751378,41294824.481379755
2021-05-11,1231430.7597693356,12311498.971869458,1219689.2379013272,11694824.864088085,1230141.6469679994,11693425.431461295,1230471.4140769194,12275878.064532014,42220026.94171516,3045749.995908687,925307.211575162,41294824.48201759
2021-05-12,1238550.033774276,12545924.16552782,1227321.6076665719,11865846.527564649,1237244.75304228,11864380.262085916,1237503.4262529446,12555234.471091801,42220032.05988374,3045749.995908687,925307.211575184,41294824.481772386
2021-05-13,1245554.1373946331,12758023.072429562,1234964.664516638,12035829.275131578,1244226.6144173886,12034299.891300065,1244422.6354608766,12837177.372099718,42220036.48846859,3045749.995908687,925307.2115752039,41294824.48162737
2021-05-14,1252473.563248193,12949922.019719211,1242616.0782888553,12204779.17973377,1251079.492981356,12203191.089910997,1251223.7048562649,13121667.091540206,42220040.33631116,3045749.995908687,925307.2115752219,41294824.48162754
2021-05-15,1259254.6616551029,13349093.701815194,1250273.5233126609,12372702.291810362,1257795.8535880318,12371060.62846021,1257901.6412791929,13408661.541615006,42220043.69221216,3045749.995908687,925307.211575238,41294824.48187585
2021-05-16,1265801.368574594,13710248.935073456,1257934.677754094,12539604.63929836,1264368.405355067,12537915.27595859,1264451.8036726997,13698116.185386654,42220046.62912986,3045749.995908687,925307.2115752528,41294824.481908746
2021-05-17,1272122.2928674428,14037008.351476202,1265597.2241054114,12705492.227646824,1270790.1269822808,12703761.798051292,1270869.9087506349,13989984.003740005,42220049.207406186,3045749.995908687,925307.2115752661,41294824.481341034
2021-05-18,1278278.9378232514,14332647.757681755,1273258.8542548055,12870371.039908504,1277054.2953609866,12868606.955047565,1277152.041684582,14284215.46449714,42220051.47726092,3045749.995908687,925307.2115752783,41294824.481160186
