pair,lag_days,correlation
vaccine_m_vs_daily_vaccinations,9,0.5144771985770453
vaccine_m_vs_daily_vaccinations,10,0.4485762648253473
vaccine_m_vs_daily_vaccinations,11,0.3659109539768944
vaccine_m_vs_daily_vaccinations,12,0.26589031819395686
vaccine_m_vs_daily_vaccinations,13,0.14826098695176584
vaccine_m_vs_daily_vaccinations,14,0.013166159339642823
vaccine_m_vs_daily_vaccinations,15,-0.08199739628543236
vaccine_m_vs_daily_vaccinations,16,-0.18838827450260004
vaccine_m_vs_daily_vaccinations,17,-0.3043386023611536
vaccine_m_vs_daily_vaccinations,18,-0.4281685799366924
vaccine_m_vs_daily_vaccinations,19,-0.5583427769981955
vaccine_m_vs_daily_vaccinations,20,-0.6936247675730752
vaccine_m_vs_daily_vaccinations,21,-0.8332301708865317
vaccine_m_vs_daily_vaccinations,22,-0.8574773981863564
vaccine_m_vs_daily_vaccinations,23,-0.8784774587135531
vaccine_m_vs_daily_vaccinations,24,-0.8960629568540223
vaccine_m_vs_daily_vaccinations,25,-0.9101356652426692
vaccine_m_vs_daily_vaccinations,26,-0.9209172625167239
vaccine_m_vs_daily_vaccinations,27,-0.929202964845052
vaccine_m_vs_daily_vaccinations,28,-0.9364881534315921
vaccine_m_vs_daily_vaccinations,29,-0.9448717258338496
vaccine_m_vs_daily_vaccinations,30,-0.9487670132649587
